תאריך ביצוע,"שם ני""ע",פעולה,כמות ביצוע,שער ביצוע,מטבע,עמלות ודמי ניהול,תמורה נטו לפני מס,רווח/הפסד,מס שנוכה/הוחזר בארץ,"מס חו""ל בשקלים"
15/07/25,0,עמלת דמי-נהול:תקופתי-חיוב,0.0,0.0,"ש""ח",-42.29,-42.29,-42.29,-10.58,0.0
16/07/25,JOBY AVIATION IN,מכירה,-875.0,15.59,דולר,-95.92,45735.0,12068.0,3017,0.0
16/07/25,DRAGANFLY INC,מכירה,-2186.0,4.28,דולר,-108.92,31318.0,5819.0,1455,0.0
16/07/25,DRAGANFLY INC,מכירה,-729.0,4.25,דולר,-101.43,10306.0,1802.0,450.51,0.0
17/07/25,SOFI TECHNOLOGIE,מכירה,-400.0,21.75,דולר,-88.36,29100.0,3357.0,839.31,0.0
21/07/25,SOFI TECHNOLOGIE,מכירה,-123.0,21.74,דולר,-83.64,8885.0,969.07,242.27,0.0
21/07/25,TEMPUS AI INC,קניה,160.0,62.23,דולר,-84.61,-33490.0,0.0,0,0.0
21/07/25,פועלים,קניה,282.0,6331.0,"ש""ח",-26.0,-17879.0,0.0,0,0.0
21/07/25,דיסקונט       א,קניה,547.0,3264.0,"ש""ח",-26.0,-17880.0,0.0,0,0.0
21/07/25,לאומי,קניה,289.0,6209.0,"ש""ח",-26.0,-17970.0,0.0,0,0.0
21/07/25,דיסקונט השקעות,קניה,2445.0,740.6,"ש""ח",-26.0,-18134.0,0.0,0,0.0
22/07/25,TAIWAN SEMIC-ADR,מכירה,-111.0,233.52,דולר,-133.97,86234.0,146.95,36.74,0.0
22/07/25,TAIWAN SEMIC-ADR,קניה,43.0,235.2,דולר,-81.66,-34003.0,0.0,0,0.0
22/07/25,ARK GENOMIC REVO,קניה,396.0,25.28,דולר,-89.35,-33666.0,0.0,0,0.0
23/07/25,ISHARES MSCI CAN,מכירה,-441.0,47.13,דולר,-122.4,69311.0,0.0,0,0.0
23/07/25,ARK GENOMIC REVO,מכירה,-394.0,26.47,דולר,-87.49,34756.0,2041.0,510.19,0.0
23/07/25,ARK GENOMIC REVO,מכירה,-396.0,26.51,דולר,-87.52,34986.0,1451.0,362.7,0.0
23/07/25,TEMPUS AI INC,מכירה,-160.0,61.67,דולר,-84.38,32883.0,1751.0,437.75,0.0
23/07/25,TEMPUS AI INC,מכירה,-172.0,61.62,דולר,-84.55,35326.0,-358.89,-89.72,0.0
23/07/25,טבע,קניה,327.0,5502.0,"ש""ח",-26.0,-18018.0,0.0,0,0.0
25/07/25,INTEL CORP,קניה,725.0,20.54,דולר,-93.23,-50140.0,0.0,0,0.0
25/07/25,ISHARES MSCI JPN,מכירה,-70.0,75.61,דולר,-86.74,17676.0,0.0,0,0.0
25/07/25,ALPHABET INC-A,קניה,52.0,192.88,דולר,-82.07,-33792.0,0.0,0,0.0
28/07/25,ADV MICRO DEVICE,מכירה,-230.0,170.0,דולר,-206.55,131443.0,23827.0,5957,0.0
28/07/25,SOFI TECHNOLOGIE,קניה,350.0,20.88,דולר,-86.04,-24612.0,0.0,0,0.0
28/07/25,ISHARES LITH MP,קניה,500.0,9.34,דולר,-90.61,-15766.0,0.0,0,0.0
29/07/25,TAIWAN SEMIC-ADR,מכירה,-43.0,243.09,דולר,-84.41,35100.0,975.6,243.9,0.0
29/07/25,CHEGG INC,קניה,7000.0,1.47,דולר,-167.5,-34750.0,0.0,0,0.0
29/07/25,CHEGG INC,מכירה,-7000.0,1.41,דולר,-167.45,33053.0,-1687.0,-421.79,0.0
29/07/25,SOFI TECHNOLOGIE,מכירה,-350.0,24.31,דולר,-85.38,28554.0,3862.0,965.46,0.0
30/07/25,CHEVRON CORP,קניה,70.0,155.37,דולר,-83.71,-36692.0,0.0,0,0.0
30/07/25,לאומי,מכירה,-289.0,6323.0,"ש""ח",-26.27,18247.0,277.19,69.3,0.0
30/07/25,דיסקונט       א,מכירה,-547.0,3300.0,"ש""ח",-26.26,18025.0,144.66,36.17,0.0
30/07/25,פועלים,מכירה,-192.0,6368.0,"ש""ח",-17.88,12209.0,35.46,8.86,0.0
30/07/25,פועלים,מכירה,-90.0,6367.0,"ש""ח",-8.38,5722.0,15.72,3.93,0.0
01/08/25,ARCHER-DANIELS,מכירה,-184.0,53.16,דולר,-89.41,33205.0,-140.43,-35.11,0.0
01/08/25,דיסקונט השקעות,מכירה,-491.0,731.6,"ש""ח",-5.28,3587.0,-54.69,-13.67,0.0
01/08/25,דיסקונט השקעות,מכירה,-1954.0,731.5,"ש""ח",-21.04,14272.0,-219.63,-54.91,0.0
